Timestamp, TotalVotes, BidenVoterShare, BidenVotes, TrumpVoterShare, TrumpVotes
2020-11-04T03:03:36Z, 104866, 0.48, 50335.68, 0.505, 52957.33
2020-11-04T03:05:47Z, 730299, 0.566, 413349.234, 0.421, 307455.879
2020-11-04T03:06:25Z, 2203485, 0.55, 1211916.75, 0.437, 962922.945
2020-11-04T03:08:46Z, 2234553, 0.549, 1226769.597, 0.438, 978734.214
2020-11-04T03:10:54Z, 2304343, 0.541, 1246649.563, 0.446, 1027736.978
2020-11-04T03:13:47Z, 2329555, 0.539, 1255630.145, 0.448, 1043640.64
2020-11-04T03:14:48Z, 2331561, 0.539, 1256711.379, 0.449, 1046870.889
2020-11-04T03:16:33Z, 2331651, 0.539, 1256759.889, 0.448, 1044579.648
2020-11-04T03:17:55Z, 2332883, 0.538, 1255091.054, 0.448, 1045131.584
2020-11-04T03:18:15Z, 2346888, 0.539, 1264972.632, 0.447, 1049058.936
2020-11-04T03:22:32Z, 2383450, 0.538, 1282296.1, 0.448, 1067785.6
2020-11-04T03:24:23Z, 2396381, 0.537, 1286856.597, 0.45, 1078371.45
2020-11-04T03:31:35Z, 2396411, 0.537, 1286872.707, 0.45, 1078384.95
2020-11-04T03:34:13Z, 2397005, 0.537, 1287191.685, 0.45, 1078652.25
2020-11-04T03:37:56Z, 2397263, 0.537, 1287330.231, 0.45, 1078768.35
2020-11-04T03:57:01Z, 2398824, 0.537, 1288168.488, 0.45, 1079470.8
2020-11-04T04:03:37Z, 2400954, 0.537, 1289312.298, 0.45, 1080429.3
2020-11-04T04:04:48Z, 2402922, 0.536, 1287966.192, 0.45, 1081314.9
2020-11-04T04:05:29Z, 2403384, 0.536, 1288213.824, 0.45, 1081522.8
2020-11-04T04:07:29Z, 2404551, 0.536, 1288839.336, 0.45, 1082047.95
2020-11-04T04:23:33Z, 2408896, 0.536, 1291168.256, 0.451, 1086412.096
2020-11-04T04:26:30Z, 2410178, 0.535, 1289445.23, 0.451, 1086990.278
2020-11-04T04:38:07Z, 2420394, 0.536, 1297331.184, 0.45, 1089177.3
2020-11-04T05:53:27Z, 2483748, 0.531, 1318870.188, 0.456, 1132589.088
2020-11-04T05:57:55Z, 2483894, 0.531, 1318947.714, 0.456, 1132655.664
2020-11-04T06:01:59Z, 2502286, 0.528, 1321207.008, 0.458, 1146046.988
2020-11-04T06:04:42Z, 2521845, 0.526, 1326490.47, 0.46, 1160048.7
2020-11-04T06:07:45Z, 2533873, 0.526, 1332817.198, 0.461, 1168115.453
2020-11-04T06:17:33Z, 2536236, 0.525, 1331523.9, 0.461, 1169204.796
2020-11-04T06:34:40Z, 2537774, 0.525, 1332331.35, 0.461, 1169913.814
2020-11-04T06:43:46Z, 2550854, 0.524, 1336647.496, 0.463, 1181045.402
2020-11-04T06:48:46Z, 2552808, 0.524, 1337671.392, 0.463, 1181950.104
2020-11-04T06:52:30Z, 2552842, 0.524, 1337689.208, 0.463, 1181965.846
2020-11-04T07:20:03Z, 2567895, 0.523, 1343009.085, 0.463, 1188935.385
2020-11-04T07:20:41Z, 2567903, 0.523, 1343013.269, 0.463, 1188939.089
2020-11-04T07:30:48Z, 2623219, 0.519, 1361450.661, 0.467, 1225043.273
2020-11-04T07:33:40Z, 2638624, 0.518, 1366807.232, 0.469, 1237514.656
2020-11-04T07:39:40Z, 2639559, 0.518, 1367291.562, 0.468, 1235313.612
2020-11-04T14:44:09Z, 2766463, 0.51, 1410896.13, 0.476, 1316836.388
2020-11-04T18:51:42Z, 2766673, 0.51, 1411003.23, 0.476, 1316936.348
2020-11-04T19:39:52Z, 2766739, 0.51, 1411036.89, 0.476, 1316967.764
2020-11-04T20:27:42Z, 2767524, 0.51, 1411437.24, 0.476, 1317341.424
