Timestamp, TotalVotes, BidenVoterShare, BidenVotes, TrumpVoterShare, TrumpVotes
2020-11-04T09:23:03Z, 0, 0, 0, 0, 0
2020-11-04T00:14:11Z, 408, 0.326, 133.008, 0.674, 274.992
2020-11-04T00:15:51Z, 127106, 0.618, 78551.508, 0.37, 47029.22
2020-11-04T00:19:55Z, 173638, 0.557, 96716.366, 0.431, 74837.978
2020-11-04T00:21:57Z, 174006, 0.557, 96921.342, 0.432, 75170.592
2020-11-04T00:22:23Z, 174448, 0.556, 96993.088, 0.433, 75535.984
2020-11-04T00:22:53Z, 175150, 0.555, 97208.25, 0.434, 76015.1
2020-11-04T00:23:58Z, 175264, 0.555, 97271.52, 0.434, 76064.576
2020-11-04T00:24:14Z, 175564, 0.554, 97262.456, 0.435, 76370.34
2020-11-04T00:24:49Z, 176131, 0.554, 97576.574, 0.435, 76616.985
2020-11-04T00:25:55Z, 200351, 0.547, 109591.997, 0.442, 88555.142
2020-11-04T00:28:08Z, 213213, 0.533, 113642.529, 0.456, 97225.128
2020-11-04T00:29:54Z, 215268, 0.531, 114307.308, 0.458, 98592.744
2020-11-04T00:30:54Z, 215927, 0.531, 114657.237, 0.458, 98894.566
2020-11-04T00:31:47Z, 216354, 0.531, 114883.974, 0.458, 99090.132
2020-11-04T00:31:54Z, 217327, 0.532, 115617.964, 0.458, 99535.766
2020-11-04T00:32:53Z, 220869, 0.526, 116177.094, 0.464, 102483.216
2020-11-04T00:34:05Z, 221921, 0.526, 116730.446, 0.464, 102971.344
2020-11-04T00:36:20Z, 225197, 0.52, 117102.44, 0.47, 105842.59
2020-11-04T00:36:53Z, 242777, 0.504, 122359.608, 0.486, 117989.622
2020-11-04T00:38:52Z, 244354, 0.502, 122665.708, 0.488, 119244.752
2020-11-04T00:39:56Z, 246674, 0.499, 123090.326, 0.491, 121116.934
2020-11-04T00:40:53Z, 258621, 0.488, 126207.048, 0.503, 130086.363
2020-11-04T00:42:34Z, 267419, 0.479, 128093.701, 0.511, 136651.109
2020-11-04T00:43:54Z, 271345, 0.477, 129431.565, 0.513, 139199.985
2020-11-04T00:44:40Z, 271584, 0.478, 129817.152, 0.513, 139322.592
2020-11-04T00:45:11Z, 272419, 0.477, 129943.863, 0.513, 139750.947
2020-11-04T00:45:53Z, 281914, 0.466, 131371.924, 0.524, 147722.936
2020-11-04T00:47:05Z, 283301, 0.467, 132301.567, 0.524, 148449.724
2020-11-04T00:47:52Z, 283359, 0.466, 132045.294, 0.524, 148480.116
2020-11-04T00:48:54Z, 316754, 0.479, 151725.166, 0.512, 162178.048
2020-11-04T00:49:02Z, 321460, 0.478, 153657.88, 0.512, 164587.52
2020-11-04T00:49:56Z, 350279, 0.482, 168834.478, 0.508, 177941.732
2020-11-04T00:50:56Z, 350408, 0.482, 168896.656, 0.508, 178007.264
2020-11-04T00:51:53Z, 353296, 0.48, 169582.08, 0.51, 180180.96
2020-11-04T00:53:56Z, 392153, 0.467, 183135.451, 0.523, 205096.019
2020-11-04T00:54:59Z, 424293, 0.455, 193053.315, 0.534, 226572.462
2020-11-04T00:56:52Z, 424812, 0.455, 193289.46, 0.534, 226849.608
2020-11-04T00:57:18Z, 424815, 0.455, 193290.825, 0.534, 226851.21
2020-11-04T00:57:52Z, 424929, 0.455, 193342.695, 0.535, 227337.015
2020-11-04T00:58:52Z, 430471, 0.452, 194572.892, 0.538, 231593.398
2020-11-04T00:59:38Z, 503994, 0.503, 253508.982, 0.487, 245445.078
2020-11-04T00:59:54Z, 510533, 0.5, 255266.5, 0.49, 250161.17
2020-11-04T01:03:53Z, 510673, 0.5, 255336.5, 0.49, 250229.77
2020-11-04T01:04:54Z, 519617, 0.495, 257210.415, 0.495, 257210.415
2020-11-04T01:05:56Z, 534401, 0.488, 260787.688, 0.502, 268269.302
2020-11-04T01:06:57Z, 568435, 0.474, 269438.19, 0.516, 293312.46
2020-11-04T01:10:54Z, 579645, 0.471, 273012.795, 0.52, 301415.4
2020-11-04T01:11:58Z, 648655, 0.478, 310057.09, 0.512, 332111.36
2020-11-04T01:12:16Z, 657166, 0.474, 311496.684, 0.517, 339754.822
2020-11-04T01:12:54Z, 666560, 0.469, 312616.64, 0.521, 347277.76
2020-11-04T01:13:56Z, 781214, 0.447, 349202.658, 0.543, 424199.202
2020-11-04T01:14:54Z, 781684, 0.446, 348631.064, 0.544, 425236.096
2020-11-04T01:15:55Z, 782301, 0.446, 348906.246, 0.543, 424789.443
2020-11-04T01:17:02Z, 810392, 0.445, 360624.44, 0.545, 441663.64
2020-11-04T01:17:56Z, 841029, 0.436, 366688.644, 0.554, 465930.066
2020-11-04T01:18:54Z, 842372, 0.436, 367274.192, 0.554, 466674.088
2020-11-04T01:19:54Z, 849657, 0.437, 371300.109, 0.553, 469860.321
2020-11-04T01:20:54Z, 863662, 0.433, 373965.646, 0.558, 481923.396
2020-11-04T01:21:57Z, 882649, 0.429, 378656.421, 0.561, 495166.089
2020-11-04T01:23:01Z, 896024, 0.431, 386186.344, 0.559, 500877.416
2020-11-04T01:23:56Z, 915330, 0.426, 389930.58, 0.564, 516246.12
2020-11-04T01:24:58Z, 928777, 0.424, 393801.448, 0.566, 525687.782
2020-11-04T01:25:53Z, 929552, 0.423, 393200.496, 0.567, 527055.984
2020-11-04T01:26:57Z, 941515, 0.422, 397319.33, 0.568, 534780.52
2020-11-04T01:28:00Z, 943775, 0.422, 398273.05, 0.568, 536064.2
2020-11-04T01:29:03Z, 955466, 0.42, 401295.72, 0.57, 544615.62
2020-11-04T01:29:55Z, 1068686, 0.427, 456328.922, 0.563, 601670.218
2020-11-04T01:30:56Z, 1153531, 0.428, 493711.268, 0.562, 648284.422
2020-11-04T01:31:56Z, 1154064, 0.428, 493939.392, 0.562, 648583.968
2020-11-04T01:32:58Z, 1191945, 0.432, 514920.24, 0.558, 665105.31
2020-11-04T01:33:25Z, 1191964, 0.432, 514928.448, 0.558, 665115.912
2020-11-04T01:33:55Z, 1200228, 0.431, 517298.268, 0.559, 670927.452
2020-11-04T01:34:53Z, 1201399, 0.431, 517802.969, 0.559, 671582.041
2020-11-04T01:35:55Z, 1218222, 0.428, 521399.016, 0.562, 684640.764
2020-11-04T01:36:54Z, 1219202, 0.428, 521818.456, 0.562, 685191.524
2020-11-04T01:36:59Z, 1224273, 0.427, 522764.571, 0.563, 689265.699
2020-11-04T01:37:57Z, 1227774, 0.427, 524259.498, 0.563, 691236.762
2020-11-04T01:38:19Z, 1227800, 0.427, 524270.6, 0.563, 691251.4
2020-11-04T01:39:55Z, 1232747, 0.427, 526382.969, 0.563, 694036.561
2020-11-04T01:40:53Z, 1245972, 0.424, 528292.128, 0.566, 705220.152
2020-11-04T01:42:00Z, 1260369, 0.422, 531875.718, 0.568, 715889.592
