Timestamp, TotalVotes, BidenVoterShare, BidenVotes, TrumpVoterShare, TrumpVotes
2020-11-04T10:00:04Z, 0, 0, 0, 0, 0
2020-11-04T01:09:14Z, 36561, 0.724, 26470.164, 0.263, 9615.543
2020-11-04T01:13:29Z, 38469, 0.707, 27197.583, 0.281, 10809.789
2020-11-04T01:13:52Z, 54591, 0.589, 32154.099, 0.397, 21672.627
2020-11-04T01:20:24Z, 65840, 0.549, 36146.16, 0.435, 28640.4
2020-11-04T01:20:50Z, 134852, 0.431, 58121.212, 0.552, 74438.304
2020-11-04T01:22:30Z, 136064, 0.429, 58371.456, 0.554, 75379.456
2020-11-04T01:25:54Z, 189834, 0.398, 75553.932, 0.584, 110863.056
2020-11-04T01:26:24Z, 198052, 0.399, 79022.748, 0.583, 115464.316
2020-11-04T01:28:36Z, 216387, 0.413, 89367.831, 0.568, 122907.816
2020-11-04T01:28:51Z, 232274, 0.407, 94535.518, 0.575, 133557.55
2020-11-04T01:32:32Z, 232460, 0.406, 94378.76, 0.575, 133664.5
2020-11-04T01:32:51Z, 254286, 0.402, 102222.972, 0.579, 147231.594
2020-11-04T01:37:59Z, 257353, 0.401, 103198.553, 0.58, 149264.74
2020-11-04T01:39:31Z, 284659, 0.406, 115571.554, 0.576, 163963.584
2020-11-04T01:39:54Z, 285117, 0.405, 115472.385, 0.576, 164227.392
2020-11-04T01:40:08Z, 285164, 0.405, 115491.42, 0.576, 164254.464
2020-11-04T01:41:08Z, 285529, 0.405, 115639.245, 0.576, 164464.704
2020-11-04T01:43:02Z, 289631, 0.404, 117010.924, 0.577, 167117.087
2020-11-04T01:43:16Z, 392781, 0.402, 157897.962, 0.577, 226634.637
2020-11-04T01:43:27Z, 404321, 0.399, 161324.079, 0.579, 234101.859
2020-11-04T01:43:55Z, 433755, 0.4, 173502, 0.579, 251144.145
2020-11-04T01:46:03Z, 435199, 0.4, 174079.6, 0.579, 251980.221
2020-11-04T01:46:50Z, 439375, 0.4, 175750, 0.579, 254398.125
2020-11-04T01:48:02Z, 477151, 0.388, 185134.588, 0.591, 281996.241
2020-11-04T01:50:30Z, 498880, 0.382, 190572.16, 0.597, 297831.36
2020-11-04T01:51:17Z, 550389, 0.397, 218504.433, 0.582, 320326.398
2020-11-04T01:51:26Z, 573857, 0.401, 230116.657, 0.578, 331689.346
2020-11-04T01:51:52Z, 574417, 0.406, 233213.302, 0.568, 326268.856
2020-11-04T01:53:23Z, 641548, 0.404, 259185.392, 0.571, 366323.908
2020-11-04T01:55:13Z, 663038, 0.404, 267867.352, 0.57, 377931.66
2020-11-04T01:56:48Z, 663321, 0.404, 267981.684, 0.57, 378092.97
2020-11-04T01:57:38Z, 671666, 0.405, 272024.73, 0.569, 382177.954
2020-11-04T01:58:41Z, 702274, 0.404, 283718.696, 0.57, 400296.18
2020-11-04T01:59:28Z, 702415, 0.404, 283775.66, 0.57, 400376.55
2020-11-04T02:01:11Z, 876300, 0.384, 336499.2, 0.593, 519645.9
2020-11-04T02:02:49Z, 888904, 0.382, 339561.328, 0.594, 528008.976
2020-11-04T02:04:55Z, 901077, 0.383, 345112.491, 0.594, 535239.738
2020-11-04T02:05:31Z, 906056, 0.383, 347019.448, 0.594, 538197.264
2020-11-04T02:07:30Z, 909244, 0.383, 348240.452, 0.594, 540090.936
2020-11-04T02:07:41Z, 909862, 0.383, 348477.146, 0.593, 539548.166
2020-11-04T02:08:04Z, 931766, 0.384, 357798.144, 0.593, 552537.238
2020-11-04T02:08:47Z, 934486, 0.384, 358842.624, 0.593, 554150.198
2020-11-04T02:10:05Z, 936292, 0.384, 359536.128, 0.593, 555221.156
2020-11-04T02:10:51Z, 954476, 0.384, 366518.784, 0.593, 566004.268
2020-11-04T02:11:05Z, 957726, 0.384, 367766.784, 0.593, 567931.518
2020-11-04T02:11:23Z, 958809, 0.384, 368182.656, 0.593, 568573.737
2020-11-04T02:13:39Z, 959682, 0.383, 367558.206, 0.593, 569091.426
2020-11-04T02:14:19Z, 959712, 0.383, 367569.696, 0.593, 569109.216
2020-11-04T02:15:54Z, 968520, 0.384, 371911.68, 0.593, 574332.36
2020-11-04T02:16:23Z, 970119, 0.384, 372525.696, 0.593, 575280.567
2020-11-04T02:19:12Z, 980979, 0.383, 375714.957, 0.594, 582701.526
2020-11-04T02:20:21Z, 985138, 0.383, 377307.854, 0.594, 585171.972
2020-11-04T02:22:03Z, 1002101, 0.383, 383804.683, 0.594, 595247.994
2020-11-04T02:22:31Z, 1002799, 0.383, 384072.017, 0.594, 595662.606
2020-11-04T02:23:05Z, 1015997, 0.387, 393190.839, 0.59, 599438.23
2020-11-04T02:24:22Z, 1020643, 0.386, 393968.198, 0.591, 603200.013
2020-11-04T02:24:33Z, 1023359, 0.386, 395016.574, 0.591, 604805.169
2020-11-04T02:25:07Z, 1032323, 0.385, 397444.355, 0.592, 611135.216
2020-11-04T02:25:16Z, 1033098, 0.385, 397742.73, 0.592, 611594.016
2020-11-04T02:25:49Z, 1033099, 0.385, 397743.115, 0.592, 611594.608
2020-11-04T02:28:25Z, 1033280, 0.385, 397812.8, 0.592, 611701.76
2020-11-04T02:29:23Z, 1033523, 0.385, 397906.355, 0.592, 611845.616
2020-11-04T02:30:54Z, 1046403, 0.387, 404957.961, 0.59, 617377.77
