Timestamp, TotalVotes, BidenVoterShare, BidenVotes, TrumpVoterShare, TrumpVotes
2020-11-04T08:04:41Z, 0, 0, 0, 0, 0
2020-11-04T04:53:10Z, 411, 0.075, 30.825, 0.91, 374.01
2020-11-04T05:02:47Z, 4588, 0.189, 867.132, 0.787, 3610.756
2020-11-04T05:29:51Z, 16783, 0.222, 3725.826, 0.746, 12520.118
2020-11-04T05:40:54Z, 24581, 0.22, 5407.82, 0.75, 18435.75
2020-11-04T05:46:13Z, 42577, 0.209, 8898.593, 0.763, 32486.251
2020-11-04T05:49:45Z, 65559, 0.239, 15668.601, 0.734, 48120.306
2020-11-04T06:23:22Z, 92907, 0.295, 27407.565, 0.678, 62990.946
2020-11-04T06:32:49Z, 817380, 0.515, 420950.7, 0.468, 382533.84
2020-11-04T06:35:22Z, 1031716, 0.516, 532365.456, 0.465, 479747.94
2020-11-04T06:44:49Z, 1037092, 0.514, 533065.288, 0.467, 484321.964
2020-11-04T06:48:01Z, 1039324, 0.514, 534212.536, 0.468, 486403.632
2020-11-04T06:50:19Z, 1067662, 0.509, 543439.958, 0.472, 503936.464
2020-11-04T06:51:05Z, 1072701, 0.508, 544932.108, 0.473, 507387.573
2020-11-04T06:51:49Z, 1081263, 0.505, 546037.815, 0.476, 514681.188
2020-11-04T06:54:56Z, 1090777, 0.504, 549751.608, 0.477, 520300.629
2020-11-04T07:07:53Z, 1091308, 0.504, 550019.232, 0.477, 520553.916
2020-11-04T07:44:00Z, 1093605, 0.503, 550083.315, 0.478, 522743.19
2020-11-04T07:47:53Z, 1095189, 0.503, 550880.067, 0.478, 523500.342
2020-11-04T08:59:16Z, 1103031, 0.502, 553721.562, 0.479, 528351.849
2020-11-04T10:20:55Z, 1187419, 0.495, 587772.405, 0.485, 575898.215
2020-11-04T10:26:39Z, 1190267, 0.494, 587991.898, 0.486, 578469.762
2020-11-04T10:45:08Z, 1192915, 0.493, 588107.095, 0.487, 580949.605
2020-11-05T17:08:20Z, 1207200, 0.495, 597564, 0.485, 585492
2020-11-05T17:15:03Z, 1208195, 0.495, 598056.525, 0.485, 585974.575
2020-11-05T17:18:00Z, 1209206, 0.495, 598556.97, 0.485, 586464.91
2020-11-05T17:20:46Z, 1209214, 0.495, 598560.93, 0.485, 586468.79
2020-11-05T17:28:58Z, 1221403, 0.494, 603373.082, 0.485, 592380.455
2020-11-05T18:02:27Z, 1222316, 0.494, 603824.104, 0.485, 592823.26
2020-11-05T18:16:00Z, 1222331, 0.494, 603831.514, 0.485, 592830.535
2020-11-05T18:19:58Z, 1222331, 0.494, 603831.514, 0.485, 592830.535
2020-11-06T16:31:41Z, 1252653, 0.498, 623821.194, 0.481, 602526.093
2020-11-06T16:48:41Z, 1252904, 0.498, 623946.192, 0.481, 602646.824
2020-11-06T16:53:42Z, 1253212, 0.498, 624099.576, 0.481, 602794.972
2020-11-06T16:55:41Z, 1258411, 0.498, 626688.678, 0.481, 605295.691
2020-11-06T16:57:40Z, 1258416, 0.498, 626691.168, 0.481, 605298.096
2020-11-06T16:58:40Z, 1258418, 0.498, 626692.164, 0.481, 605299.058
2020-11-06T17:03:34Z, 1258441, 0.498, 626703.618, 0.481, 605310.121
2020-11-06T17:48:41Z, 1259022, 0.498, 626992.956, 0.481, 605589.582
2020-11-06T18:03:42Z, 1260800, 0.497, 626617.6, 0.481, 606444.8
2020-11-06T23:19:42Z, 1269513, 0.498, 632217.474, 0.48, 609366.24
2020-11-07T17:04:43Z, 1270001, 0.498, 632460.498, 0.48, 609600.48
2020-11-07T17:10:42Z, 1284697, 0.499, 641063.803, 0.479, 615369.863
2020-11-07T17:13:42Z, 1285861, 0.499, 641644.639, 0.479, 615927.419
2020-11-07T17:17:42Z, 1287403, 0.499, 642414.097, 0.479, 616666.037
2020-11-08T01:59:57Z, 1295764, 0.5, 647882, 0.478, 619375.192
2020-11-08T17:03:45Z, 1297228, 0.5, 648614, 0.478, 620074.984
2020-11-08T17:04:44Z, 1312135, 0.501, 657379.635, 0.477, 625888.395
2020-11-09T01:13:53Z, 1323719, 0.502, 664506.938, 0.476, 630090.244
2020-11-09T17:02:48Z, 1334559, 0.502, 669948.618, 0.475, 633915.525
2020-11-09T17:04:47Z, 1334721, 0.502, 670029.942, 0.475, 633992.475
2020-11-10T17:05:00Z, 1335180, 0.502, 670260.36, 0.475, 634210.5
2020-11-10T17:07:55Z, 1335198, 0.502, 670269.396, 0.475, 634219.05
