Timestamp, TotalVotes, BidenVoterShare, BidenVotes, TrumpVoterShare, TrumpVotes
2020-11-04T09:25:23Z, 0, 0, 0, 0, 0
2020-11-04T00:19:27Z, 77, 0.571, 43.967, 0.429, 33.033
2020-11-04T00:30:20Z, 0, 0, 0, 0, 0
2020-11-04T00:42:45Z, 11, 0.636, 6.996, 0.364, 4.004
2020-11-04T00:59:15Z, 0, 0, 0, 0, 0
2020-11-04T01:03:44Z, 64535, 0.799, 51563.465, 0.188, 12132.58
2020-11-04T01:14:19Z, 86353, 0.772, 66664.516, 0.216, 18652.248
2020-11-04T01:14:26Z, 120261, 0.764, 91879.404, 0.225, 27058.725
2020-11-04T01:15:31Z, 195481, 0.831, 162444.711, 0.16, 31276.96
2020-11-04T01:15:55Z, 211317, 0.828, 174970.476, 0.163, 34444.671
2020-11-04T01:17:19Z, 219166, 0.822, 180154.452, 0.169, 37039.054
2020-11-04T01:24:10Z, 219258, 0.821, 180010.818, 0.169, 37054.602
2020-11-04T01:26:57Z, 301969, 0.841, 253955.929, 0.151, 45597.319
2020-11-04T01:29:03Z, 306881, 0.836, 256552.516, 0.155, 47566.555
2020-11-04T01:31:11Z, 436908, 0.587, 256464.996, 0.407, 177821.556
2020-11-04T01:32:56Z, 476287, 0.604, 287677.348, 0.39, 185751.93
2020-11-04T01:35:04Z, 503027, 0.608, 305840.416, 0.385, 193665.395
2020-11-04T01:36:16Z, 557915, 0.632, 352602.28, 0.361, 201407.315
2020-11-04T01:36:55Z, 559431, 0.632, 353560.392, 0.361, 201954.591
2020-11-04T01:37:50Z, 564800, 0.631, 356388.8, 0.363, 205022.4
2020-11-04T01:38:49Z, 678741, 0.656, 445254.096, 0.337, 228735.717
2020-11-04T01:40:56Z, 688010, 0.655, 450646.55, 0.337, 231859.37
2020-11-04T01:44:56Z, 694151, 0.651, 451892.301, 0.342, 237399.642
2020-11-04T01:46:00Z, 694271, 0.651, 451970.421, 0.342, 237440.682
2020-11-04T01:47:01Z, 695628, 0.65, 452158.2, 0.343, 238600.404
2020-11-04T01:48:56Z, 696058, 0.65, 452437.7, 0.343, 238747.894
2020-11-04T01:49:47Z, 701106, 0.649, 455017.794, 0.343, 240479.358
2020-11-04T01:50:58Z, 715357, 0.641, 458543.837, 0.351, 251090.307
2020-11-04T01:51:36Z, 955161, 0.685, 654285.285, 0.308, 294189.588
2020-11-04T01:52:56Z, 959453, 0.683, 655306.399, 0.31, 297430.43
2020-11-04T01:54:55Z, 963987, 0.681, 656475.147, 0.311, 299799.957
2020-11-04T01:57:01Z, 977045, 0.681, 665367.645, 0.311, 303860.995
2020-11-04T01:58:08Z, 980230, 0.68, 666556.4, 0.313, 306811.99
2020-11-04T01:59:15Z, 1020864, 0.669, 682958.016, 0.323, 329739.072
2020-11-04T01:59:44Z, 1020920, 0.669, 682995.48, 0.323, 329757.16
2020-11-04T01:59:54Z, 1025783, 0.668, 685223.044, 0.324, 332353.692
2020-11-04T02:00:34Z, 1025811, 0.668, 685241.748, 0.324, 332362.764
2020-11-04T02:01:18Z, 1031614, 0.668, 689118.152, 0.324, 334242.936
2020-11-04T02:02:21Z, 1033161, 0.667, 689118.387, 0.325, 335777.325
2020-11-04T02:03:01Z, 1052706, 0.661, 695838.666, 0.331, 348445.686
