Timestamp, TotalVotes, BidenVoterShare, BidenVotes, TrumpVoterShare, TrumpVotes
2020-11-04T10:02:04Z, 0, 0, 0, 0, 0
2020-11-04T02:14:29Z, 1095, 0.725, 793.875, 0.256, 280.32
2020-11-04T02:18:58Z, 9001, 0.362, 3258.362, 0.619, 5571.619
2020-11-04T02:23:05Z, 43641, 0.624, 27231.984, 0.359, 15667.119
2020-11-04T02:24:58Z, 109676, 0.441, 48367.116, 0.543, 59554.068
2020-11-04T02:27:50Z, 116441, 0.433, 50418.953, 0.55, 64042.55
2020-11-04T02:27:56Z, 138795, 0.487, 67593.165, 0.496, 68842.32
2020-11-04T02:28:29Z, 139671, 0.486, 67880.106, 0.498, 69556.158
2020-11-04T02:29:02Z, 213227, 0.508, 108319.316, 0.474, 101069.598
2020-11-04T02:30:00Z, 279037, 0.489, 136449.093, 0.492, 137286.204
2020-11-04T02:32:26Z, 281229, 0.488, 137239.752, 0.493, 138645.897
2020-11-04T02:34:02Z, 316869, 0.471, 149245.299, 0.509, 161286.321
2020-11-04T02:34:40Z, 352596, 0.504, 177708.384, 0.477, 168188.292
2020-11-04T02:35:06Z, 353826, 0.504, 178328.304, 0.477, 168775.002
2020-11-04T02:36:25Z, 359150, 0.502, 180293.3, 0.48, 172392
2020-11-04T02:37:36Z, 359709, 0.501, 180214.209, 0.48, 172660.32
2020-11-04T02:38:19Z, 376689, 0.499, 187967.811, 0.482, 181564.098
2020-11-04T02:39:00Z, 393072, 0.495, 194570.64, 0.486, 191032.992
2020-11-04T02:42:35Z, 468775, 0.512, 240012.8, 0.469, 219855.475
2020-11-04T02:43:50Z, 511953, 0.504, 258024.312, 0.477, 244201.581
2020-11-04T02:44:16Z, 512037, 0.504, 258066.648, 0.477, 244241.649
2020-11-04T02:46:37Z, 555995, 0.483, 268545.585, 0.498, 276885.51
2020-11-04T02:46:58Z, 623182, 0.516, 321561.912, 0.466, 290402.812
2020-11-04T02:47:06Z, 661164, 0.51, 337193.64, 0.473, 312730.572
2020-11-04T02:48:16Z, 661737, 0.509, 336824.133, 0.472, 312339.864
2020-11-04T02:48:52Z, 670482, 0.508, 340604.856, 0.474, 317808.468
2020-11-04T02:49:19Z, 688302, 0.507, 348969.114, 0.474, 326255.148
2020-11-04T02:51:09Z, 730981, 0.5, 365490.5, 0.482, 352332.842
2020-11-04T02:51:39Z, 751724, 0.509, 382627.516, 0.474, 356317.176
2020-11-04T02:52:35Z, 781761, 0.501, 391662.261, 0.482, 376808.802
2020-11-04T02:53:41Z, 819913, 0.496, 406676.848, 0.487, 399297.631
2020-11-04T02:54:34Z, 820289, 0.496, 406863.344, 0.487, 399480.743
2020-11-04T02:55:58Z, 821494, 0.495, 406639.53, 0.487, 400067.578
2020-11-04T02:56:07Z, 844894, 0.495, 418222.53, 0.487, 411463.378
2020-11-04T02:57:10Z, 847690, 0.495, 419606.55, 0.488, 413672.72
2020-11-04T02:57:38Z, 855189, 0.497, 425028.933, 0.485, 414766.665
2020-11-04T02:58:08Z, 915557, 0.488, 446791.816, 0.495, 453200.715
2020-11-04T02:58:29Z, 944136, 0.485, 457905.96, 0.498, 470179.728
2020-11-04T02:59:11Z, 945040, 0.485, 458344.4, 0.498, 470629.92
2020-11-04T02:59:37Z, 983937, 0.478, 470321.886, 0.505, 496888.185
2020-11-04T03:00:20Z, 992552, 0.477, 473447.304, 0.505, 501238.76
2020-11-04T03:01:17Z, 1026828, 0.476, 488770.128, 0.507, 520601.796
2020-11-04T03:03:52Z, 1067172, 0.478, 510108.216, 0.504, 537854.688
2020-11-04T03:04:05Z, 1068544, 0.478, 510764.032, 0.505, 539614.72
2020-11-04T03:06:03Z, 1087928, 0.477, 518941.656, 0.506, 550491.568
2020-11-04T03:06:21Z, 1089047, 0.477, 519475.419, 0.506, 551057.782
2020-11-04T03:09:17Z, 1115492, 0.475, 529858.7, 0.508, 566669.936
2020-11-04T03:10:18Z, 1116936, 0.475, 530544.6, 0.508, 567403.488
2020-11-04T03:10:42Z, 1118820, 0.475, 531439.5, 0.508, 568360.56
2020-11-04T03:11:07Z, 1127793, 0.474, 534573.882, 0.509, 574046.637
2020-11-04T03:11:30Z, 1128436, 0.474, 534878.664, 0.509, 574373.924
2020-11-04T03:13:28Z, 1129435, 0.474, 535352.19, 0.509, 574882.415
2020-11-04T03:14:01Z, 1144057, 0.473, 541138.961, 0.51, 583469.07
2020-11-04T03:14:27Z, 1144934, 0.473, 541553.782, 0.51, 583916.34
2020-11-04T03:15:00Z, 1146504, 0.473, 542296.392, 0.51, 584717.04
2020-11-04T03:16:53Z, 1150829, 0.472, 543191.288, 0.511, 588073.619
2020-11-04T03:22:01Z, 1162185, 0.472, 548551.32, 0.511, 593876.535
2020-11-04T03:24:08Z, 1177333, 0.472, 555701.176, 0.511, 601617.163
2020-11-04T03:27:32Z, 1231243, 0.483, 594690.369, 0.5, 615621.5
2020-11-04T03:28:57Z, 1271741, 0.483, 614250.903, 0.5, 635870.5
2020-11-04T03:30:09Z, 1273241, 0.483, 614975.403, 0.5, 636620.5
2020-11-04T03:30:28Z, 1293950, 0.481, 622389.95, 0.502, 649562.9
2020-11-04T03:30:52Z, 1295948, 0.481, 623350.988, 0.503, 651861.844
2020-11-04T03:35:25Z, 1314342, 0.48, 630884.16, 0.503, 661114.026
2020-11-04T03:37:17Z, 1315928, 0.481, 632961.368, 0.502, 660595.856
2020-11-04T03:39:29Z, 1338972, 0.482, 645384.504, 0.501, 670824.972
2020-11-04T03:44:05Z, 1371871, 0.483, 662613.693, 0.501, 687307.371
2020-11-04T03:44:54Z, 1390806, 0.481, 668977.686, 0.502, 698184.612
2020-11-04T03:46:25Z, 1420086, 0.483, 685901.538, 0.5, 710043
2020-11-04T03:46:46Z, 1433951, 0.484, 694032.284, 0.499, 715541.549
2020-11-04T03:50:10Z, 1441731, 0.483, 696356.073, 0.5, 720865.5
2020-11-04T03:51:23Z, 1445245, 0.483, 698053.335, 0.5, 722622.5
2020-11-04T03:53:26Z, 1469107, 0.481, 706640.467, 0.502, 737491.714
2020-11-04T03:54:07Z, 1469186, 0.481, 706678.466, 0.502, 737531.372
2020-11-04T03:55:00Z, 1473224, 0.481, 708620.744, 0.502, 739558.448
2020-11-04T03:55:27Z, 1474586, 0.481, 709275.866, 0.502, 740242.172
2020-11-04T03:56:12Z, 1483756, 0.48, 712202.88, 0.503, 746329.268
2020-11-04T03:57:47Z, 1485560, 0.479, 711583.24, 0.503, 747236.68
2020-11-04T03:59:40Z, 1512162, 0.485, 733398.57, 0.498, 753056.676
2020-11-04T04:00:08Z, 1512685, 0.485, 733652.225, 0.498, 753317.13
2020-11-04T04:00:47Z, 1526911, 0.483, 737498.013, 0.5, 763455.5
2020-11-04T04:01:02Z, 1532318, 0.483, 740109.594, 0.5, 766159
2020-11-04T04:02:43Z, 1534123, 0.483, 740981.409, 0.5, 767061.5
2020-11-04T04:03:17Z, 1543265, 0.482, 743853.73, 0.501, 773175.765
2020-11-04T04:05:14Z, 1584658, 0.479, 759051.182, 0.504, 798667.632
2020-11-04T04:05:40Z, 1590491, 0.479, 761845.189, 0.504, 801607.464
2020-11-04T04:06:06Z, 1605217, 0.477, 765688.509, 0.506, 812239.802
2020-11-04T04:06:31Z, 1621498, 0.476, 771833.048, 0.507, 822099.486
2020-11-04T04:06:39Z, 1631584, 0.476, 776633.984, 0.507, 827213.088
2020-11-04T04:07:40Z, 1636652, 0.476, 779046.352, 0.507, 829782.564
